Pos.,Pct.,Amount,2 Tied,3 Tied,4 Tied,5 Tied,6 Tied,7 Tied,8 Tied,9 Tied,10 Tied
1,18%,"$1,656,000.00",,,,,,,,,
2,10.90%,"$1,002,800.00","$818,800.00","$696,133.31","$616,400.00","$559,820.00","$518,266.66","$485,300.00","$458,275.00","$435,211.12","$414,920.00"
3,6.90%,"$634,800.00","$542,800.00","$487,600.00","$449,075.00","$421,360.00","$399,050.00","$380,485.72","$364,262.50","$349,600.00","$336,030.00"
4,4.90%,"$450,800.00","$414,000.00","$387,166.66","$368,000.00","$351,900.00","$338,100.00","$325,614.28","$313,950.00","$302,833.34","$292,100.00"
5,4.10%,"$377,200.00","$355,350.00","$340,400.00","$327,175.00","$315,560.00","$304,750.00","$294,400.00","$284,337.50","$274,466.66","$264,730.00"
6,3.63%,"$333,500.00","$322,000.00","$310,500.00","$300,150.00","$290,260.00","$280,600.00","$271,071.44","$261,625.00","$252,233.33","$243,800.00"
7,3.38%,"$310,500.00","$299,000.00","$289,033.34","$279,450.00","$270,020.00","$260,666.67","$251,357.14","$242,075.00","$233,833.33","$226,320.00"
8,3.13%,"$287,500.00","$278,300.00","$269,100.00","$259,900.00","$250,700.00","$241,500.00","$232,300.00","$224,250.00","$216,966.67","$210,220.00"
9,2.93%,"$269,100.00","$259,900.00","$250,700.00","$241,500.00","$232,300.00","$223,100.00","$215,214.28","$208,150.00","$201,633.33","$195,500.00"
10,2.73%,"$250,700.00","$241,500.00","$232,300.00","$223,100.00","$213,900.00","$206,233.33","$199,442.86","$193,200.00","$187,322.22","$181,700.00"
11,2.53%,"$232,300.00","$223,100.00","$213,900.00","$204,700.00","$197,340.00","$190,900.00","$184,985.72","$179,400.00","$174,033.33","$168,820.00"
12,2.33%,"$213,900.00","$204,700.00","$195,500.00","$188,600.00","$182,620.00","$177,100.00","$171,842.86","$166,750.00","$161,766.67","$156,860.00"
13,2.13%,"$195,500.00","$186,300.00","$180,166.67","$174,800.00","$169,740.00","$164,833.33","$160,014.28","$155,250.00","$150,522.22","$145,820.00"
14,1.93%,"$177,100.00","$172,500.00","$167,900.00","$163,300.00","$158,700.00","$154,100.00","$149,500.00","$144,900.00","$140,300.00","$135,884.00"
15,1.83%,"$167,900.00","$163,300.00","$158,700.00","$154,100.00","$149,500.00","$144,900.00","$140,300.00","$135,700.00","$131,304.44","$127,052.00"
16,1.73%,"$158,700.00","$154,100.00","$149,500.00","$144,900.00","$140,300.00","$135,700.00","$131,100.00","$126,730.00","$122,513.34","$118,404.00"
